,property_id,asa_id,property_type,n_holders
0,01F3NMA3R3E9QMGJKJ2TF4A6HK,LFTY0001,single family,146
1,01F9YN2XC891JSZ1S7M63MBNVX,LFTY0002,single family,82
2,01FBJD5D0H729QC0DZK67RSA3J,LFTY0004,single family,116
3,01FBSM84CT3RNTW13722P5FM5G,LFTY0005,triplex,116
4,01FDD8E2MGZXX2WXT7D4T5ZRRK,LFTY0006,single family,158
5,01FDH2AHH5YWYGFBJN1QVG69KQ,LFTY0007,single family,293
6,01FDTMH0KXNHE870B7T8KMW7V9,LFTY0008,single family,168
7,01FDXK82G96GQS99G4F5TXRY27,LFTY0009,single family,158
8,01FE2DFK3B1JMJK6GC37NZ9521,LFTY0010,triplex,152
9,01FEFADYB3PZG81EXEKSTCCMCV,LFTY0011,single family,187
10,01FF0R0PD9E0F8TY4KHP680FDD,LFTY0012,single family,70
11,01FFDC3PKRN4ASNXB3RXNTMDME,LFTY0013,single family,148
12,01FFGJ6KV1AP234NKH4ZBQ8N13,LFTY0014,single family,210
13,01FG1XQG32PVZG5A5B6JHQDQZE,LFTY0016,single family,113
14,01FG4NWXGEN87QTSA1RR3QWZKZ,LFTY0017,single family,212
15,01FG8BB94G8P6PYYW7YM9BVBMG,LFTY0019,single family,199
16,01FG9TK5697PHWZF3VA7KFPTVT,LFTY0018,duplex,267
17,01FGMG8MRDHVQCW9RBY4VTCREY,LFTY0020,single family,145
18,01FGPR6RH69YDGKAMRTPE6XNBE,LFTY0021,single family,44
19,01FGS6HM0KWR822QJ20DF98ZQA,LFTY0022,single family,215
20,01FGVZAJ6DK5SJM3W4ECFGCZFY,LFTY0023,single family,202
21,01FH3DDBK4CFFSNGN65PZB5ZGH,LFTY0024,single family,235
22,01FH6Q057EZ7V0Y1WY2AQ7GVAR,LFTY0025,duplex,96
23,01FH96CJNWDCTGV6Y8PS4MZFSH,LFTY0029,single family,111
24,01FHE85W8EPCGPRDJAJMAFPSSP,LFTY0028,single family,193
25,01FHGRJ6VB01SS4CC7Z068BDAM,LFTY0031,single family,47
26,01FHR5PK90GXRD3T56A1MXWYQT,LFTY0034,single family,156
27,01FHV4VKVX95QJT2MMJABTTJMM,LFTY0036,single family,120
28,01FHXGY78BHFZM2PK79F4JBZCS,LFTY0038,single family,116
29,01FJ0V9E5W530JWHK57PF0MZMH,LFTY0040,single family,1
30,01FJ37T1FMS1ADNHFG8QHD2DPS,LFTY0042,commercial,98
31,01FJATT1XY6K1XJPZ37GN6JSCD,LFTY0043,single family,118
32,01FJG0QAVSKK1MQWZ28XXVXSPB,LFTY0037,single family,231
33,01FJZ4S4KD7CJVZB8BRVYVCAZD,LFTY0049,single family,188
34,01FK1E5NHX4PEZC1GXVSSAPWXP,LFTY0041,single family,63
35,01FK4QMB4DJP66KNJDBFAKBZSP,LFTY0054,single family,140
36,01FKER0A73QJBYP4JQHW10KYBH,LFTY0046,single family,137
37,01FKH3TZ7FWKFHZV5YB94HV0YM,LFTY0056,single family,172
38,01FKKH0XY0RTNV2B74JVAEQJXX,LFTY0026,single family,151
39,01FKPEZVFSD6KDYN5DY5Y7Z2AE,LFTY0068,single family,135
40,01FKSCK3GDAFCF0HVMRAGGG8MN,LFTY0069,single family,108
41,01FKVM5P0WS9JPMCDZ1GB1RQQG,LFTY0062,duplex,441
42,01FKZ6V2JVV5NB1BYGX1Q5BJFD,LFTY0027,duplex,149
43,01FM632J5ZX33231WGAPBAQW67,LFTY0072,single family,181
44,01FMB6BRGYJDJ06P5G3XMF5XY5,LFTY0078,duplex,72
45,01FMBAJS39T784QYDBVC03K0GR,LFTY0059,duplex,480
46,01FMDJ818RZTM1WQEKN9Z7GXGY,LFTY0073,single family,55
47,01FMN4Q2M9MW33ERXJKG61MTRD,LFTY0082,single family,182
48,01FMR7NN4VTT9E9WFH8G32E7XY,LFTY0061,single family,171
49,01FMTB24EZ6T1BZ1Q5S5JJ5JWC,LFTY0077,triplex,67
50,01FN0KMRMBY5FYT24A8935ZZXM,LFTY0084,single family,170
51,01FN4YH4XH19G1T0QMSWYD1QAB,LFTY0089,single family,182
52,01FN7VZB6DXAB3CBENQV1CHFQD,LFTY0050,single family,132
53,01FNA2XERVE2KF27MBW9PCAABG,LFTY0093,duplex,46
54,01FNEZC3W9TXWMWDGQPC4FFMTZ,LFTY0094,single family,94
55,01FNMVMNP4MVG9V6MXM51SPFTP,LFTY0096,two 3-unit properties,695
56,01FNSMTASFCP7DTAJENQ0HMAME,LFTY0095,triplex,161
57,01FNWTCSMS7ZN9C14FRVZ64RSX,LFTY0100,duplex,270
58,01FPBC7MM6Y8FQJEBGYDN4ZQCN,LFTY0065,single family,163
59,01FPEFH3DEHBPA7QV2KTDK38RH,LFTY0099,single family,280
60,01FPKD7BNFR2D3H1CFTDNZMATT,LFTY0060,single family,430
61,01FQ0P6Z9ZFM7A7AB22358MTDY,LFTY0063,single family,115
62,01FRTX6G4XCSGNA373W80AP7BG,LFTY0098,single family,139
63,01FSQWFTQTFQA9K1RSP4TA6ESB,LFTY0106,single family,81
64,01FSZB7VJRKBWQX278N1M0A03P,LFTY0107,duplex,146
65,01FT9SAAV28S01GWZPAEC97FNH,LFTY0108,single family,177
66,01FTHEFJPXP17ENCEMWQMCHNXQ,LFTY0111,single family,103
67,01FWHNJ3BDWH2ND2XP27YZMWBS,LFTY0115,single family,213
68,01FX8C60TMYHCSM9476701HQMY,LFTY0116,multi family,87
69,01FXGSDYWKS8M6XQ5SY5XMT097,LFTY0117,duplex,45
70,01FXP30MHCTD5S3Y6B4GJQ301A,LFTY0118,single family,90
71,01FXTVANKYY3HXR2J52Y3PF8VS,LFTY0120,single family,50
72,01FYA7B7ASPZ1C1K5Y7VVTNBJ8,LFTY0122,mixed use,460
73,01FYMDBCSB68KV2Q9KRPNBQ7XW,LFTY0123,triplex,277
74,01FYQFF6HYNVJ45Z050R2H2JC5,LFTY0124,single family,70
75,01FZVB1JA1GZNX05T32QG0883R,LFTY0127,single family,147
76,01FZXZRGEV76TSXMFQHJK0Q1CW,LFTY0128,single family,58
77,01G00KEEJQAEGGA2FWGQ7JMG5R,LFTY0129,single family,215
78,01G0364A8VB2BH861CN84JR5KJ,LFTY0130,single family,83
79,01G083E54FY7NBMBF6NSKQGNYD,LFTY0131,single family,98
80,01G0G1QT8X84JXPYTV6QB5VWC6,LFTY0132,duplex,47
81,01G0JK1DS7BFZEQ0VB0WT7QCYA,LFTY0133,single family,96
82,01G0T3MEVDY5D3T5J319CZ343N,LFTY0134,single family,97
83,01G1224G5DBCREBSQX8V8EGDMS,LFTY0135,single family,268
84,01G14R78D98MF5Q85QP9Q866G8,LFTY0136,fourplex,33
85,01G16YTFHDGNGR8XBWK18ZA434,LFTY0137,single family,83
86,01G1PPHDKBCB17CVJ4NBC9R5Y1,LFTY0139,single family,41
87,01G22NDE3ABNHKPX7GDG0D78QW,LFTY0140,duplex,57
88,01G2XA6K4VX3F38FXD2NXZJ83B,LFTY0142,duplex,445
89,01G3YPTZRSX06HSGY4JJ9S4ZJT,LFTY0143,single family,119
90,01G4BMJE4911TXDAHY873G33ZZ,LFTY0144,single family,131
91,01G4NYQV83B49NXCG226YAVWC7,LFTY0145,single family,20
92,01G4XPM2EVX59KGVACEC12K7V7,LFTY0146,single family,117
93,01G50DXDHMHTJZARXGES606T9R,LFTY0147,single family,114
94,01G52Q6BPJPGENTZR86EBRJJGE,LFTY0148,single family,98
95,01G57Y13TBE091VH5C96Q5PMRV,LFTY0150,single family,141
96,01G5AHV0PBN3DN6DYYQ3Q4XCT3,LFTY0151,single family,104
97,01G5JB6RMFRA00N0076YRHNHWP,LFTY0153,single family,143
98,01G5T8PFTDN92RNHJT914G29QT,LFTY0154,single family,83
99,01G61MYFGP2QTJQ1GYHQK8T956,LFTY0156,single family,75
100,01G64ANN8TEPGHTQEGZBZ75RTF,LFTY0157,single family,128
101,01G6HB0G3MK5ND2Z184FFVNT6Z,LFTY0158,single family,135
102,01G78CSQDW3F0MBA22T03W5E5B,LFTY0159,single family,116
103,01G84AZATGYT3QBZY2G7F7HM0A,LFTY0160,single family,71
104,01G8CBTQ5RHES6V70N19QNVSJN,LFTY0161,duplex,121
105,01G8H8MR9E5RBB033E1F9Q4F5X,LFTY0162,duplex,124
106,01G8TXERV09QRTK4X39RXH330T,LFTY0202,single family,98
107,01GA2HQA2RAWY2MPR5FDVJGDRM,LFTY0163,duplex,99
108,01GE0CM20MNH70QYRC06M90W7K,LFTY0218,single family,382
109,01GEMZ1F8HDXDQPX3ZDFV1EZYS,LFTY0263,single family,765
110,01GF3XG5EMM2K9VBR4C7YYWT6J,LFTY0236,single family,203
111,01GHCHM3043344FXBM0F8FQC0J,LFTY0220,single family,133
112,01GJKGAA5G228DY298ZJ0XFY88,LFTY0300,triplex,61
113,01GKA8SK6FAGDMXGF5N5VKP2J8,LFTY0304,single family,142
114,01GMXE8TGHZCXBM550TG5Y82C0,LFTY0307,single family,31
115,01GP1H3FSS5RWZN9N42B9HXHF1,LFTY0317,single family,68
116,01GQN9ZZ4EN3YNS0HV407DJ56S,LFTY0322,single family,94
117,01GRCJJAB4T67JPX1MAZVQ2R86,LFTY0306,single family,33
118,01GSRBSDRFKZXF2706VDNJQGMR,LFTY0330,single family,198
119,01H6RZ1ETKA3N7HAAA2TKWJGWQ,LFTY0315,commercial,239
120,01H89SR9PB4KVRZGZKH7DFRV68,LFTY0328,single family,90
121,01H93J1F8NAKD6J8E46BPD3JX3,LFTY0318,single family,63
122,01HAW7JQ4TGDEPM7WS82A8WKWN,LFTY0337,single family,78
123,01HB70QFQBM9ATQ1MY9C402AE4,LFTY0308,single family,86
124,01HCNE8NVDPGF50PSQF733N9MC,LFTY0335,vacation rental,15
125,01HFFQFZWY1PSWQN5XXCMVVD47,LFTY0321,single family,66
126,01HH55NJSE80CHPE90B1RTRQRB,LFTY0314,vacation rental,301
127,01HJ4RS5TXHB8A3PE531FQYP9W,LFTY0303,single family,120
128,01HP0C6PTQN0SWTXYHT0WGX8F4,LFTY0329,vacation rental,201
129,01HP2GCJSK1VAAEQPK3Q45149H,LFTY0301,single family,56
130,01HQPBRGHMGY6J768GPKRRRWG2,LFTY0302,duplex,104
131,01HQVKYZA53QNGAW5XR6EF7ACV,LFTY0331,single family,183
132,01HS93VNKAC0XQMATXNDY10J26,LFTY0320,single family,179
133,01HSV845H03Q0VEMW0DMFZJ12K,LFTY0305,commercial,81
134,01HTX65S2TCB8M3SHBVTZY7QCV,LFTY0340,single family,136
135,01HVHXR6QQECQ3QXF81YRF2G0F,LFTY0338,single family,89
136,01HW421V0876XEFDHBT50NXB2W,LFTY0403,triplex,95
137,01HWGEKTRMRFKFR2TQ2WN3SRDM,LFTY0400,single family,97
138,01HX2X8KMQVSY55D84GNFJK9TK,LFTY401,single family,126
139,01HXSY49VNK797SFEEJ5FQAB7B,LFTY402,vacation rental,75
140,01HYBVZP90CE1RTGG1G1BC7HMZ,LFTY406,vacation rental,106
141,01HYRV9P22M7QEQPHM5ZPZ5Z4R,LFTY0405,vacation rental,140
142,01HZAJS22825QK60XJYVQBT52G,LFTY0411,vacation rental,247
143,01J01NBFDNWSJMWCDVT657BVCV,LFTY0408,vacation rental,81
144,01J020EQJ0M9S7MXBZJQGMESWB,LFTY412,vacation rental,90
145,01J1NKR4GXJVGR3ZVZQYFNFKT7,LFTY0415,single family,107
146,01J1ZRN9EZVYA08NMNVHT2BPC1,LFTY413,vacation rental,275
147,01J2SPCTDP7TGDWHADDN1KZ4P8,LFTY0417,single family,94
148,01J36EWEPMATDS22WVCH0Q2CWY,LFTY0323,vacation rental,103
149,01J429HMDY0PCR92PENMD704S7,LFTY0404,single family,99
150,01J4FD23YKCPS1NHKJ75DR9MX6,LFTY0420,commercial,241
151,01J51836J2K9FEGK52PBNGRQXN,LFTY0418,commercial,132
152,01J5HA7KYGT2D6WSZ4372YVNCH,LFTY0426,duplex,165
153,01J67WCTGRFP5HX14ZCK6B31B2,LFTY0423,vacation rental,8
154,01J6QHBXE66ENV6C2J4ARPW4PB,LFTY0407,single family,158
155,01J79A2XE99Q5S0ABG1DVGRZWX,LFTY0416,vacation rental,68
156,01J7VHGT9JQ203VBTEXS58BCXG,LFTY0414,single family,43
157,01J8BT5KV9BX8ASAR3ZH8P04AT,LFTY0428,duplex,102
158,01J923JW5RG6PBWJWK467XGG92,LFTY0437,two SFRs and one duplex,12
159,01J9M4JZ12GMJVJ44DETB8CSKQ,LFTY0409,vacation rental,27
160,01J9WGBBAB1GDRA7Y033ABD4FC,LFTY0440,vacation rental,49
161,01JAQT757A9ZBN44WJ0D5B0XVD,LFTY0436,vacation rental,37
162,01JCEASBH5B3SFP68VWR3YCDN0,LFTY0316,fourplex,76
163,01JD8CCY5S26Q0GZFDVSYHVFQ7,LFTY0424,vacation rental,168
164,01JDXG6XPMZ253FVDQHGW4JD5A,LFTY0444,vacation rental,299
165,01JDZ5WSZTE1MSJX2TT9DFQWHF,LFTY0439,vacation rental,62
166,01JEENQPAJY68YYD22395DE9HA,LFTY0433,vacation rental,42
167,01JF6J3649A2VR22DC08HE32J2,LFTY0442,single family,32
168,01JGMSZ4NEGCFF8T8CEE5XXYQ7,LFTY0432,vacation rental,141
169,01JH9T1330AEWJJR3THM4CG4PP,LFTY0443,vacation rental,99
170,01JHGPXTJTYYSNVMBRTP7A98AT,LFTY0419,commercial,50
171,01JJ2THFG8SPG6B4K038WZ4HEV,LFTY0441,single family,50
172,01JMD5EPPMJDY5Z2C14F1S34NJ,LFTY0454,duplex,88
173,01JNA7KFSHXDN81J3878604RDH,LFTY0462,single family,90
174,01JNY7MHBBBGD1G6M0YGWJ0YZY,LFTY0464,vacation rental,126
175,01JP0PKYWK2E02TW4S92MH6K8H,LFTY0452,single family,91
176,01JQ7E3CEJ2727DYEWSHJP9V29,LFTY0421,commercial,74
177,01JQPSNYP369KGTD9SZ5KRME7P,LFTY0459,single family,115
178,01JR3BFF3EWJ6GJ8VVWATPKNVZ,LFTY0461,single family,41
179,01JV0G4JF3QTNYHBPG8ZSN4HNZ,LFTY0465,single family,52
180,01JV36MV51N74VJJKTWGN8ASGX,LFTY0446,single family,11
181,01JVN4AZ3GYEW22846F94G4XV5,LFTY0467,triplex,26
182,01JVN5GDS9SKZHJ4F13VQM10JE,LFTY0466,single family,8
183,01JVN6C1EQCC8C045JPE9MB0G8,LFTY0468,commercial,39
184,01JW6XWXZNVERQ47NAFG3MF4EH,LFTY0473,single family,7
185,01JW6YZF5HJPT8EWSAKZDWKJ2M,LFTY0474,commercial,34
186,01JWM9CKG1PV7XH2AJTBKQVFX8,LFTY0476,vacation rental,153
187,01JZ0W7YZBVS6SCW5H7KPR3E3Q,LFTY0479,commercial,19
188,01JZKJ3S5DB9ZVX3N7XE1Z7YFX,LFTY0475,single family,40
189,01K1KEB3HS6VSQXXZG0Y7DKSCC,LFTY0431,vacation rental,18
190,01K1KKTQACRHR32FF2GJAT6WZS,LFTY0484,single family,154
191,01K1VKTF50B18YPKEKKMNT988E,LFTY0477,commercial,63
192,01K2FFVKT70CRA8WMSY9DEPHP9,LFTY0482,single family,75
